2024-05-09,2407
2024-05-10,2425
2024-05-11,2426
2024-05-12,2430
2024-05-13,2489
2024-05-14,2675
2024-05-15,2789
2024-05-16,2818
2024-05-17,2833
2024-05-18,2840
2024-05-19,2849
2024-05-20,2866
2024-05-21,2868
2024-05-22,2875
2024-05-23,2874
2024-05-24,2890
2024-05-25,2901
2024-05-26,2904
2024-05-27,2908
2024-05-28,2908
2024-05-29,2902
2024-05-30,2908
2024-05-31,2913
2024-06-01,2916
2024-06-02,2922
2024-06-03,2946
2024-06-04,2950
2024-06-05,2955
2024-06-06,3021
2024-06-07,3072
2024-06-08,3077
2024-06-09,3085
2024-06-10,3092
2024-06-11,3112
2024-06-12,3130
2024-06-13,3140
2024-06-14,3145
2024-06-15,3148
2024-06-16,3148
2024-06-17,3157
2024-06-18,3160
2024-06-19,3163
2024-06-20,3167
2024-06-21,3173
2024-06-22,3176
2024-06-23,3178
2024-06-24,3176
2024-06-25,3185
2024-06-26,3182
2024-06-27,3186
2024-06-28,3186
2024-06-29,3187
2024-06-30,3187
2024-07-01,3194
2024-07-02,3197
2024-07-03,3200
2024-07-04,3201
2024-07-05,3203
2024-07-06,3203
2024-07-07,3209
2024-07-08,3213
2024-07-09,3211
2024-07-10,3212
2024-07-11,3214
2024-07-12,3222
2024-07-13,3222
2024-07-14,3223
2024-07-15,3233
2024-07-16,3236
2024-07-17,3241
2024-07-18,3241
2024-07-19,3236
2024-07-20,3239
2024-07-21,3246
2024-07-22,3248
2024-07-23,3251
2024-07-24,3250
2024-07-25,3255
2024-07-26,3268
2024-07-27,3269
2024-07-28,3268
2024-07-29,3266
2024-07-30,3269
2024-07-31,3276
2024-08-01,3277
2024-08-02,3279
2024-08-03,3282
2024-08-04,3281
2024-08-05,3283
2024-08-06,3292
2024-08-07,3296
2024-08-08,3297
2024-08-09,3295
2024-08-10,3294
2024-08-11,3294
2024-08-12,3296
2024-08-13,3296
2024-08-14,3299
2024-08-15,3301
2024-08-16,3301
